path: /Users/andreasimioni/Desktop/parallelComputing/mid_term_BIGRAMS_TRIGRAMS/TextBigrams-Trigrams/Java/sample/text50KB.txt
key: lut , value: 6
key: den , value: 61
key: dem , value: 6
key: dep , value: 6
key: der , value: 55
key: des , value: 6
key: dev , value: 12
key: lve , value: 6
key: yos , value: 12
key: 9qu , value: 6
key: ugn , value: 12
key: dfd , value: 6
key: lwo , value: 6
key: hon , value: 6
key: uic , value: 24
key: uib , value: 12
key: uii , value: 6
key: uin , value: 24
key: 1co , value: 6
key: uis , value: 12
key: èla , value: 6
key: uit , value: 18
key: lxn , value: 6
key: èli , value: 6
key: 1èi , value: 7
key: 1de , value: 6
key: dia , value: 30
key: did , value: 25
key: dic , value: 61
key: dif , value: 56
key: die , value: 6
key: ysa , value: 6
key: dil , value: 6
key: din , value: 12
key: 5ma , value: 7
key: dim , value: 24
key: dip , value: 18
key: dio , value: 18
key: dir , value: 24
key: dit , value: 13
key: dis , value: 90
key: div , value: 25
key: diu , value: 25
key: diz , value: 6
key: èna , value: 7
key: ula , value: 12
key: uld , value: 6
key: ull , value: 24
key: ulm , value: 6
key: ult , value: 19
key: uma , value: 6
key: ume , value: 24
key: umo , value: 6
key: una , value: 115
key: unc , value: 36
key: une , value: 30
key: ung , value: 18
key: uni , value: 50
key: unn , value: 12
key: unm , value: 6
key: uno , value: 12
key: unq , value: 12
key: dma , value: 6
key: unt , value: 12
key: uns , value: 45
key: unz , value: 18
key: hun , value: 6
key: uoi , value: 6
key: uop , value: 6
key: uor , value: 6
key: ùst , value: 6
key: èri , value: 7
key: uov , value: 90
key: upd , value: 6
key: upl , value: 6
key: upp , value: 151
key: upr , value: 6
key: doa , value: 12
key: doc , value: 12
key: èse , value: 6
key: doe , value: 12
key: doi , value: 6
key: dol , value: 18
key: don , value: 36
key: dop , value: 24
key: dot , value: 6
key: dos , value: 12
key: dov , value: 13
key: èst , value: 24
key: dou , value: 6
key: maa , value: 6
key: mac , value: 168
key: doz , value: 6
key: 75m , value: 7
key: mab , value: 13
key: àco , value: 6
key: 5so , value: 7
key: mad , value: 24
key: mag , value: 12
key: mai , value: 12
key: mam , value: 12
key: uqu , value: 6
key: mal , value: 6
key: mao , value: 88
key: man , value: 24
key: maq , value: 12
key: map , value: 6
key: mat , value: 42
key: dpo , value: 7
key: àde , value: 18
key: mav , value: 12
key: ura , value: 79
key: àdi , value: 18
key: urc , value: 26
key: maz , value: 12
key: uri , value: 6
key: uro , value: 6
key: mbi , value: 31
key: èun , value: 14
key: uso , value: 6
key: uss , value: 6
key: ust , value: 12
key: uta , value: 6
key: ute , value: 39
key: uti , value: 25
key: uto , value: 6
key: utt , value: 12
key: mea , value: 12
key: mec , value: 12
key: med , value: 12
key: meg , value: 6
key: mei , value: 18
key: mem , value: 13
key: maè , value: 6
key: mel , value: 6
key: meo , value: 7
key: men , value: 117
key: mep , value: 7
key: mes , value: 12
